vid,match_id,stage,player1ringname,player1rank,player1character,player2ringname,player2rank,player2character,round_num,player1_rounds_won,p1ko,p1ro,p1ex,player2_rounds_won,p2ko,p2ro,p2ex,round_end_time
-_D9D9r616U,3186,7635eae8-d36c-4d4a-a988-b280f03914e6,Sumo Ring,n/a,42,Jean,n/a,43,Jacky,3,2,1,0,0,1,0,0,0,23.00
-_D9D9r616U,4156,7635eae8-d36c-4d4a-a988-b280f03914e6,Sumo Ring,n/a,42,Jean,n/a,43,Jacky,4,2,0,0,0,2,1,0,0,23.61
-_D9D9r616U,5432,7635eae8-d36c-4d4a-a988-b280f03914e6,Sumo Ring,n/a,42,Jean,n/a,43,Jacky,5,2,0,0,0,3,1,0,0,12.10
-aTG1qoi-ks,60,4c19c5b4-9168-4045-9682-3849e394bc1e,River,n/a,0,Kage,n/a,0,Jean,0,0,0,0,0,0,0,0,0,n/a
-aTG1qoi-ks,2656,4c19c5b4-9168-4045-9682-3849e394bc1e,River,n/a,42,Kage,n/a,41,Jean,1,0,0,0,0,1,1,0,0,29.60
-aTG1qoi-ks,3718,4c19c5b4-9168-4045-9682-3849e394bc1e,River,n/a,42,Kage,n/a,41,Jean,2,0,0,0,0,2,1,0,0,19.06
-c-_OWwCxiA,60,38ee9ced-efe1-4b90-af43-a3aeec278c63,Broken House,n/a,0,Jean,n/a,0,Pai,0,0,0,0,0,0,0,0,0,n/a
-c-_OWwCxiA,1478,38ee9ced-efe1-4b90-af43-a3aeec278c63,Broken House,n/a,42,Jean,n/a,41,Pai,1,0,0,0,0,1,1,0,0,21.70
-c-_OWwCxiA,3081,38ee9ced-efe1-4b90-af43-a3aeec278c63,Broken House,n/a,42,Jean,n/a,41,Pai,2,0,0,0,0,2,1,0,0,25.61
-c-_OWwCxiA,3918,38ee9ced-efe1-4b90-af43-a3aeec278c63,Broken House,n/a,42,Jean,n/a,41,Pai,3,1,1,0,0,2,0,0,0,26.60
-c-_OWwCxiA,4925,38ee9ced-efe1-4b90-af43-a3aeec278c63,Broken House,n/a,42,Jean,n/a,41,Pai,4,1,0,0,0,3,1,0,0,21.06
-eL7dZzFQuA,60,f8c9e7b8-52bb-48c4-b882-60b27045fe22,Statues,n/a,0,Jacky,n/a,0,Jean,0,0,0,0,0,0,0,0,0,n/a
-eL7dZzFQuA,1435,f8c9e7b8-52bb-48c4-b882-60b27045fe22,Statues,n/a,42,Jacky,n/a,42,Jean,1,1,1,0,0,0,0,0,0,21.66
-eL7dZzFQuA,2502,f8c9e7b8-52bb-48c4-b882-60b27045fe22,Statues,n/a,42,Jacky,n/a,42,Jean,2,1,0,0,0,1,1,0,0,18.01
-eL7dZzFQuA,3391,f8c9e7b8-52bb-48c4-b882-60b27045fe22,Statues,n/a,42,Jacky,n/a,42,Jean,3,1,0,0,0,2,1,0,0,24.86
-eL7dZzFQuA,4467,f8c9e7b8-52bb-48c4-b882-60b27045fe22,Statues,n/a,42,Jacky,n/a,42,Jean,4,2,1,0,0,2,0,0,0,18.70
-eL7dZzFQuA,5156,f8c9e7b8-52bb-48c4-b882-60b27045fe22,Statues,n/a,42,Jacky,n/a,42,Jean,5,2,0,0,0,3,1,0,0,31.32
-mH6W0Oo6VE,60,3a55111b-1c21-4578-a71b-9819d3615a71,River,n/a,0,Jean,n/a,0,Jacky,0,0,0,0,0,0,0,0,0,n/a
-mH6W0Oo6VE,1507,3a55111b-1c21-4578-a71b-9819d3615a71,River,n/a,40,Jean,n/a,41,Jacky,1,0,0,0,0,1,1,0,0,18.00
-mH6W0Oo6VE,2287,3a55111b-1c21-4578-a71b-9819d3615a71,River,n/a,40,Jean,n/a,41,Jacky,2,1,1,0,0,1,0,0,0,28.60
-mH6W0Oo6VE,3319,3a55111b-1c21-4578-a71b-9819d3615a71,River,n/a,40,Jean,n/a,41,Jacky,3,2,1,0,0,1,0,0,0,20.06
-mH6W0Oo6VE,4345,3a55111b-1c21-4578-a71b-9819d3615a71,River,n/a,40,Jean,n/a,41,Jacky,4,3,1,0,0,1,0,0,0,20.16
-oP8K97s-mU,60,1eb50149-4c78-4e1a-8165-be4388249397,Palace,n/a,0,Lion,n/a,0,Aoi,0,0,0,0,0,0,0,0,0,n/a
-oP8K97s-mU,1413,1eb50149-4c78-4e1a-8165-be4388249397,Palace,n/a,41,Lion,n/a,0,Aoi,1,0,0,0,0,1,0,1,0,25.70
-oP8K97s-mU,2456,1eb50149-4c78-4e1a-8165-be4388249397,Palace,n/a,41,Lion,n/a,40,Aoi,2,1,1,0,0,1,0,0,0,18.06
-oP8K97s-mU,3437,1eb50149-4c78-4e1a-8165-be4388249397,Palace,n/a,41,Lion,n/a,40,Aoi,3,2,1,0,0,1,0,0,0,21.61
-oP8K97s-mU,4514,1eb50149-4c78-4e1a-8165-be4388249397,Palace,n/a,41,Lion,n/a,40,Aoi,4,2,0,0,0,2,1,0,0,18.06
-oP8K97s-mU,5695,1eb50149-4c78-4e1a-8165-be4388249397,Palace,n/a,41,Lion,n/a,40,Aoi,5,2,0,0,0,3,1,0,0,15.01
-oscXO_q6LA,60,3fd81673-bd17-420f-a37a-00c899f13887,Genesis,n/a,0,Lei Fei,n/a,0,Jean,0,0,0,0,0,0,0,0,0,n/a
-oscXO_q6LA,1371,3fd81673-bd17-420f-a37a-00c899f13887,Genesis,n/a,43,Lei Fei,n/a,45,Jean,1,0,0,0,0,1,0,1,0,23.86
-oscXO_q6LA,2400,3fd81673-bd17-420f-a37a-00c899f13887,Genesis,n/a,43,Lei Fei,n/a,45,Jean,2,1,1,0,0,1,0,0,0,20.11
-oscXO_q6LA,3097,3fd81673-bd17-420f-a37a-00c899f13887,Genesis,n/a,43,Lei Fei,n/a,45,Jean,3,1,0,0,0,2,0,1,0,31.60
-oscXO_q6LA,3680,3fd81673-bd17-420f-a37a-00c899f13887,Genesis,n/a,43,Lei Fei,n/a,45,Jean,4,2,0,1,0,2,0,0,0,34.66
-oscXO_q6LA,4523,3fd81673-bd17-420f-a37a-00c899f13887,Genesis,n/a,43,Lei Fei,n/a,45,Jean,5,3,0,1,0,2,0,0,0,26.32
-w1oYisR-MQ,62,e9d4327c-bee9-48a4-8b24-f0033da2225b,Sumo Ring,n/a,0,Jean,n/a,0,Eileen,0,0,0,0,0,0,0,0,0,n/a
-w1oYisR-MQ,1431,e9d4327c-bee9-48a4-8b24-f0033da2225b,Sumo Ring,n/a,43,Jean,n/a,41,Eileen,1,0,0,0,0,1,1,0,0,21.61
-w1oYisR-MQ,2251,e9d4327c-bee9-48a4-8b24-f0033da2225b,Sumo Ring,n/a,43,Jean,n/a,41,Eileen,2,1,1,0,0,1,0,0,0,27.16
-w1oYisR-MQ,3477,e9d4327c-bee9-48a4-8b24-f0033da2225b,Sumo Ring,n/a,43,Jean,n/a,41,Eileen,3,1,0,0,0,2,1,0,0,13.70
-w1oYisR-MQ,4620,e9d4327c-bee9-48a4-8b24-f0033da2225b,Sumo Ring,n/a,43,Jean,n/a,41,Eileen,4,1,0,0,0,3,1,0,0,16.66
00Dd6fwmUvo,60,1d5fe365-d0f4-424c-a101-449721d4f559,City,n/a,0,Jean,n/a,0,Lei Fei,0,0,0,0,0,0,0,0,0,n/a
00Dd6fwmUvo,1100,1d5fe365-d0f4-424c-a101-449721d4f559,City,n/a,41,Jean,n/a,41,Lei Fei,1,1,0,1,0,0,0,0,0,3.16
00Dd6fwmUvo,2183,1d5fe365-d0f4-424c-a101-449721d4f559,City,n/a,41,Jean,n/a,41,Lei Fei,2,2,1,0,0,0,0,0,0,18.00
00Dd6fwmUvo,3152,1d5fe365-d0f4-424c-a101-449721d4f559,City,n/a,41,Jean,n/a,41,Lei Fei,3,3,1,0,0,0,0,0,0,22.16
00yuLKmt41U,60,caba21c8-1af9-44a8-8d99-f56dad9d7724,Great Wall,n/a,0,Aoi,n/a,0,Jean,0,0,0,0,0,0,0,0,0,n/a
00yuLKmt41U,1272,caba21c8-1af9-44a8-8d99-f56dad9d7724,Great Wall,n/a,41,Aoi,n/a,41,Jean,1,0,0,0,0,1,0,1,0,26.66
00yuLKmt41U,1906,caba21c8-1af9-44a8-8d99-f56dad9d7724,Great Wall,n/a,41,Aoi,n/a,41,Jean,2,1,1,0,0,1,0,0,0,33.62
00yuLKmt41U,2706,caba21c8-1af9-44a8-8d99-f56dad9d7724,Great Wall,n/a,41,Aoi,n/a,41,Jean,3,1,0,0,0,2,1,0,0,27.06
00yuLKmt41U,3527,caba21c8-1af9-44a8-8d99-f56dad9d7724,Great Wall,n/a,41,Aoi,n/a,41,Jean,4,1,0,0,0,3,1,0,0,27.66
04ihI91Wgqk,60,f2a9d564-2fcf-43c8-a159-4a01dde5d249,Shrine,n/a,0,Jacky,n/a,0,Jean,0,0,0,0,0,0,0,0,0,n/a
04ihI91Wgqk,1143,f2a9d564-2fcf-43c8-a159-4a01dde5d249,Shrine,n/a,42,Jacky,n/a,45,Jean,1,0,0,0,0,1,0,1,0,32.06
04ihI91Wgqk,2040,f2a9d564-2fcf-43c8-a159-4a01dde5d249,Shrine,n/a,42,Jacky,n/a,45,Jean,2,1,1,0,0,1,0,0,0,24.63
04ihI91Wgqk,3005,f2a9d564-2fcf-43c8-a159-4a01dde5d249,Shrine,n/a,42,Jacky,n/a,45,Jean,3,1,0,0,0,2,1,0,0,22.02
04ihI91Wgqk,5388,f2a9d564-2fcf-43c8-a159-4a01dde5d249,Shrine,n/a,42,Jacky,n/a,45,Jean,4,1,0,0,0,3,1,0,0,18.74
0BVAFmA8pEM,60,a653f04d-be69-491e-85a7-d759a263dd25,City,n/a,0,Jean,n/a,0,Jacky,0,0,0,0,0,0,0,0,0,n/a
0BVAFmA8pEM,1590,a653f04d-be69-491e-85a7-d759a263dd25,City,n/a,42,Jean,n/a,45,Jacky,1,1,1,0,0,0,0,0,0,16.00
0BVAFmA8pEM,2694,a653f04d-be69-491e-85a7-d759a263dd25,City,n/a,42,Jean,n/a,45,Jacky,2,2,1,0,0,0,0,0,0,17.32
0BVAFmA8pEM,3383,a653f04d-be69-491e-85a7-d759a263dd25,City,n/a,42,Jean,n/a,45,Jacky,3,2,0,0,0,1,1,0,0,31.32
0BVAFmA8pEM,4165,a653f04d-be69-491e-85a7-d759a263dd25,City,n/a,42,Jean,n/a,45,Jacky,4,2,0,0,0,2,1,0,0,28.16
0BVAFmA8pEM,5131,a653f04d-be69-491e-85a7-d759a263dd25,City,n/a,42,Jean,n/a,45,Jacky,5,3,1,0,0,2,0,0,0,21.66
0fUxkIgHjaQ,60,6bbd2d86-c982-4772-996d-6c12238e1940,Sumo Ring,n/a,0,Jean,n/a,0,Aoi,0,0,0,0,0,0,0,0,0,n/a
0fUxkIgHjaQ,1201,6bbd2d86-c982-4772-996d-6c12238e1940,Sumo Ring,n/a,42,Jean,n/a,40,Aoi,1,1,1,0,0,0,0,0,0,3.64
0fUxkIgHjaQ,2267,6bbd2d86-c982-4772-996d-6c12238e1940,Sumo Ring,n/a,42,Jean,n/a,40,Aoi,2,2,0,1,0,0,0,0,0,19.10
0fUxkIgHjaQ,3547,6bbd2d86-c982-4772-996d-6c12238e1940,Sumo Ring,n/a,42,Jean,n/a,40,Aoi,3,2,0,0,0,1,1,0,0,11.01
0fUxkIgHjaQ,4384,6bbd2d86-c982-4772-996d-6c12238e1940,Sumo Ring,n/a,42,Jean,n/a,40,Aoi,4,2,0,0,0,2,0,0,1,26.31
0fUxkIgHjaQ,5485,6bbd2d86-c982-4772-996d-6c12238e1940,Sumo Ring,n/a,42,Jean,n/a,40,Aoi,5,2,0,0,0,3,0,1,0,18.06
0wi4SlwjZAo,60,34f50d5e-898b-4916-9fce-1a648066b7e6,Statues,n/a,0,Lion,n/a,0,Jean,0,0,0,0,0,0,0,0,0,n/a
0wi4SlwjZAo,1427,34f50d5e-898b-4916-9fce-1a648066b7e6,Statues,n/a,40,Lion,n/a,40,Jean,1,1,1,0,0,0,0,0,0,20.16
0wi4SlwjZAo,2318,34f50d5e-898b-4916-9fce-1a648066b7e6,Statues,n/a,40,Lion,n/a,40,Jean,2,2,1,0,0,0,0,0,0,25.00
0wi4SlwjZAo,3469,34f50d5e-898b-4916-9fce-1a648066b7e6,Statues,n/a,40,Lion,n/a,40,Jean,3,2,0,0,0,1,1,0,0,16.66
0wi4SlwjZAo,4704,34f50d5e-898b-4916-9fce-1a648066b7e6,Statues,n/a,40,Lion,n/a,40,Jean,4,2,0,0,0,2,1,0,0,13.60
0wi4SlwjZAo,5638,34f50d5e-898b-4916-9fce-1a648066b7e6,Statues,n/a,40,Lion,n/a,40,Jean,5,3,1,0,0,2,0,0,0,23.01
1AptpRKT1Yc,60,69f781f2-317f-4b00-ad4f-f8bb7dfd4ee9,Statues,n/a,0,Lau,n/a,0,Jean,0,0,0,0,0,0,0,0,0,n/a
1AptpRKT1Yc,1530,69f781f2-317f-4b00-ad4f-f8bb7dfd4ee9,Statues,n/a,40,Lau,n/a,42,Jean,1,1,1,0,0,0,0,0,0,19.66
1AptpRKT1Yc,2533,69f781f2-317f-4b00-ad4f-f8bb7dfd4ee9,Statues,n/a,40,Lau,n/a,42,Jean,2,2,1,0,0,0,0,0,0,21.16
1AptpRKT1Yc,3301,69f781f2-317f-4b00-ad4f-f8bb7dfd4ee9,Statues,n/a,40,Lau,n/a,42,Jean,3,2,0,0,0,1,1,0,0,28.36
1AptpRKT1Yc,4000,69f781f2-317f-4b00-ad4f-f8bb7dfd4ee9,Statues,n/a,40,Lau,n/a,42,Jean,4,3,1,0,0,1,0,0,0,31.66
1YH2Oo1DMG8,60,3630de28-5f06-40f3-9c8c-7f4109bb4cb9,Genesis,n/a,0,Sarah,n/a,0,Jean,0,0,0,0,0,0,0,0,0,n/a
1YH2Oo1DMG8,1753,3630de28-5f06-40f3-9c8c-7f4109bb4cb9,Genesis,n/a,41,Sarah,n/a,43,Jean,1,1,1,0,0,0,0,0,0,11.00
1YH2Oo1DMG8,2507,3630de28-5f06-40f3-9c8c-7f4109bb4cb9,Genesis,n/a,41,Sarah,n/a,43,Jean,2,1,0,0,0,1,0,1,0,29.70
1YH2Oo1DMG8,3626,3630de28-5f06-40f3-9c8c-7f4109bb4cb9,Genesis,n/a,41,Sarah,n/a,43,Jean,3,2,1,0,0,1,0,0,0,17.10
1YH2Oo1DMG8,4331,3630de28-5f06-40f3-9c8c-7f4109bb4cb9,Genesis,n/a,41,Sarah,n/a,43,Jean,4,2,0,0,0,2,0,1,0,31.10
1YH2Oo1DMG8,5100,3630de28-5f06-40f3-9c8c-7f4109bb4cb9,Genesis,n/a,41,Sarah,n/a,43,Jean,5,3,1,0,0,2,0,0,0,28.30
1_HXBwHvSQM,62,1a884233-172c-4900-b292-9f5a51ae51f9,Arena,n/a,0,Blaze,n/a,0,Jean,0,0,0,0,0,0,0,0,0,n/a
1_HXBwHvSQM,1295,1a884233-172c-4900-b292-9f5a51ae51f9,Arena,n/a,42,Blaze,n/a,43,Jean,1,1,1,0,0,0,0,0,0,28.06
1_HXBwHvSQM,2488,1a884233-172c-4900-b292-9f5a51ae51f9,Arena,n/a,42,Blaze,n/a,43,Jean,2,2,1,0,0,0,0,0,0,14.01
